 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1811,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1812,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1813,14,255,12.4853,1.0000,1.0199,0.9805,0.9333
1814,204,255,52.5269,0.9291,1.0505,0.9520,0.9252
1815,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1816,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1817,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1818,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1819,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1820,11,255,15.3137,0.5894,2.4108,0.4148,0.7333
1821,15,255,13.8995,0.9757,1.3925,0.7181,0.8824
1822,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1823,28,255,19.3137,0.9433,1.3517,0.7398,0.8889
1824,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1825,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1826,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1827,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1828,12,255,11.6569,1.0000,1.3333,0.7500,1.0000
1829,71,255,32.6274,0.8381,1.4023,0.7131,0.8606
1830,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1831,8,255,10.4853,0.9144,1.1952,0.8367,0.8000
1832,14,255,12.4853,1.0000,1.0199,0.9805,0.9333
1833,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1834,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1835,29,255,18.7279,1.0000,1.0762,0.9292,0.9062
1836,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1837,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1838,66,255,34.0416,0.7157,1.9935,0.5016,0.8462
1839,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
1840,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1841,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1842,15,255,13.0711,1.0000,1.1366,0.8798,0.9677
1843,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1844,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
1845,33,255,20.1421,1.0000,1.2115,0.8254,0.9041
1846,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1847,38,255,22.3848,0.9530,1.2867,0.7772,0.8444
1848,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
1849,21,255,15.8995,1.0000,1.1818,0.8461,0.9130
1850,17,255,13.8995,1.0000,1.2632,0.7917,0.9189
1851,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1852,144,255,43.6985,0.9476,1.0155,0.9847,0.9172
1853,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1854,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1855,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1856,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1857,15,255,13.8995,0.9757,1.3925,0.7181,0.8824
